champion_chinese,champion_url,play_strats,counter_strats,champion_name_cn,champion_name_eng,play_strats_en,counter_strats_en
生化魔人 扎克,https://lol.qq.com/data/info-defail.shtml?id=154,"
- 如果你想要维持血量的话，要特别注重粘液的拾取。
- 当细胞分裂准备就绪时，尽量死在敌人难以击杀你的细胞组织的地方。
- 尽量在敌人的视野外进行橡筋弹弓的充能，好让敌人更难对它做出反应。","
- 从Zac身上分裂出去的那些粘液，可以为Zac提供治疗效果。你走到它们身上就可以踩碎它们了。
- 在Zac分裂之后，要杀掉所有的细胞组织，才能阻止他重组。
- 在Zac为他的橡筋弹弓充能时，你可以用沉默、晕眩、束缚和击飞效果来干扰他。",扎克,Zac,"-If you want to maintain blood volume, pay special attention to the pickup of mucus.  -When the cell division is ready, try to die where it is difficult for the enemy to kill your cell tissue.  -Try to charge the elastic slingshot out of the enemy's field of vision to make it more difficult for the enemy to react to it. ","-The mucus that splits from Zac can provide Zac with healing effects. You can smash them when you walk on them.  -After Zac splits, all cells and tissues must be killed to prevent him from reorganizing.  -When Zac charges his elastic slingshot, you can interfere with him with silence, stun, restraint, and knock-up effects. "
疾风剑豪 亚索,https://lol.qq.com/data/info-defail.shtml?id=157,"
- 你可以将敌方小兵作为踏前斩的跳板，来追杀本已逃掉的敌人；你也可以直接突进到对方英雄身上，并将敌方小兵作为撤退时的跳板。
- 在18级时，Yasuo的斩钢闪只需要从装备中获取 55% 攻击速度，即可到达攻击速度上限。
- 狂风绝息斩可以对着任何浮空的目标施放，即使这个击飞效果是你的友军造成的。","
- 斩钢闪的范围非常狭窄。尽可能靠边，就能躲过这招。
- 当Yasuo的斩钢闪连续命中两次时，他的下次斩钢闪就会形成一道旋风。要观察他的增益栏，并且留心聆听相关音效，做好躲避这招的准备。
- Yasuo在发出旋风之后最为虚弱，可以趁机逼他交战。
- Yasuo的百折不屈的护盾只持续2秒。对他造成伤害即可将护盾触发。先等护盾消失，然后再开战。",亚索,Yasuo,"-You can use the enemy creeps as a springboard for cutting forward to chase down enemies that have escaped; you can also rush into the opponent's hero directly and use the enemy creeps as a springboard for retreat.  -At level 18, Yasuo’s Steel Flash only needs 55% of the attack speed from the equipment to reach the upper limit of attack speed.  -Gale Breathing Slash can be cast on any floating target, even if the knock-up effect is caused by your allies. ","-The range of the steel flash is very narrow. Move as far as possible to avoid this trick.  -When Yasuo's steel flash hits twice in a row, his next steel flash will form a whirlwind. To observe his gain bar, and pay attention to the relevant sound effects, be prepared to avoid this trick.  -Yasuo is the weakest after the whirlwind and can take the opportunity to force him to fight.  -Yasuo's unyielding shield lasts only 2 seconds. Do damage to him to trigger the shield. Wait for the shield to disappear, and then go to war. "
虚空之眼 维克兹,https://lol.qq.com/data/info-defail.shtml?id=161,"
- 在对线时，使用虚空裂隙来击杀小兵，同时在敌方英雄身上叠加有机体解构效果。然后你可以接其它技能。
- 侧身发射等离子裂变，并让它在最大距离处分裂，就能让这个技能命中初始施法距离之外的敌人，这也是一个值得去掌握的技巧。
- 要非常谨Shen地挑选终极技能的使用时机。大部分英雄的技能都可以打断这个技能。","
- 如果在战斗中对Vel’Koz不管不顾的话，他就会非常致命。尽量趁早将他集火掉。
- Vel’Koz的机动能力相当低下，因此容Master Yi被 GANK。
- 晕眩、沉默和击飞效果都可以打断Vel’Koz的生命形态瓦解射线。",维克兹,Vel’Koz,"-When laning, use the void rift to kill the minions, and superimpose the organic deconstruction effect on the enemy hero. Then you can pick up other skills.  -Launching plasma fission sideways and splitting it at the maximum distance will allow this skill to hit enemies beyond the initial cast range. This is also a skill worth mastering.  -Shen chooses when to use ultimate skills very carefully. Most of the hero's skills can interrupt this skill. ","-If you ignore Vel’Koz in battle, he will be very deadly. Try to set him off as early as possible.  -Vel’Koz's mobility is quite low, so Rong Master Yi was GANK.  -Stun, silence, and knock-up effects can interrupt Vel’Koz’s life form disintegration ray. "
岩雀 塔莉垭,https://lol.qq.com/data/info-defail.shtml?id=163,"
- 尝试用【W岩突】来把敌人扔到【E撒石阵】上。
- 切记，没有必要总是搭乘【R墙幔】。
- 一旦你做出【瑞莱的冰晶节杖】，朝那些正在追击你的 敌人使用【Q石穿】能够很有效地让他们为此感到后悔。","
- 当Taliyah在线上放下【E撒石阵】时，要注意躲开她的【W岩突】。如果她把你扔到雷区中，就会有各种石头来打断你的骨头。
- Taliyah的【Q石穿】会朝一个方向锁定。如果她对你使用这个技能，就要尽快躲到边上去！",塔莉垭,Taliyah,"-Try to use [W Yantuo] to throw the enemy on [Esa Rock Formation].  -Remember, there is no need to always take [R Wall Mantle].  -Once you have made [Relai's Ice Scepter], using [Q Stone Wear] on enemies who are chasing you can effectively make them regret it. ","-When Taliyah puts down [Eza Stonehenge] on the line, be careful to avoid her [Wyantu]. If she throws you into the minefield, there will be various stones to break your bones.  -Taliyah’s [Q Stone Wear] will lock in one direction. If she uses this skill on you, she must hide to the side as soon as possible! "
青钢影 卡蜜尔,https://lol.qq.com/data/info-defail.shtml?id=164,"
- 尽量先等你的队友吸引敌方队伍的注意力，然后再用【E钩索】接近敌方脆弱的后排英雄们。
- 利用好你技能的控制效果，从而让你的【Q精准礼仪】的两段攻击都能打到敌人身上。","
- Camille的护盾只能对一种伤害类型生效，所以尽量趁她无法抵挡你的伤害时对她发起攻击。
- 【R海克斯最后通牒】的施放距离很短，所以尽量与她保持距离，并在她接近你之前就闪现逃开。",卡蜜尔,Camille,"-Try to wait for your teammates to attract the attention of the enemy team, and then use the [E hook cable] to approach the enemy's vulnerable back row heroes.  -Make good use of the control effects of your skills, so that both of your [Q Precise Etiquette] attacks can hit the enemy. ","-Camille's shield can only work on one type of damage, so try to attack her when she can't resist your damage.  -[R Hex Ultimatum] has a very short cast range, so try to keep a distance from her and flash away before she approaches you. "
弗雷尔卓德之心 布隆,https://lol.qq.com/data/info-defail.shtml?id=201,"
- 和你的队友一起叠加【震荡猛击】效果，鼓励他们对被标记的目标进行普攻。
- 你可以用【坚不可摧】跳到脆皮队友的前方，然后为他们阻挡敌方的飞行道具。
- 【冰川裂隙】会生成一块强大的减速区域，你可以利用它来分割敌方阵形，并减缓敌方进入战场的速度。","
- Braum必须用【寒冬之咬】或普攻来施加第一层【震荡猛击】效果。如果你被标记了，那就在承受另外的3次攻击之前退出战斗区域，从而避免被击晕。
- Braum的终极技能施法时间较长，利用这段时间来躲避。这个技能造成的冻结地面会使你被减速，因此如果你不是那么迫切地需要踩过去，那么你可以用谨Shen的走位来应对。
- 【坚不可摧】会为Braum提供超强的定向防御力，所以要么就绕到侧面，要么就先等他把盾牌放下去。",布隆,Braum,"-Superimpose the [Concussion Slam] effect with your teammates to encourage them to perform basic attacks on the marked targets.  -You can use [Indestructible] to jump to the front of Crispy teammates, and then block enemy projectiles for them.  -[Glacier Fissure] will generate a powerful deceleration zone, you can use it to divide the enemy's formation and slow down the enemy's speed into the battlefield. ","-Braum must use [Winter Bite] or basic attack to apply the first layer of [Concussion Slam] effect. If you are marked, exit the combat area before taking another 3 attacks to avoid being stunned.  -Braum's ultimate ability has a long casting time, use this time to dodge. The frozen ground caused by this skill will slow you down, so if you don't need to step on it so urgently, then you can respond with Shen's walking position.  -[Indestructible] will provide Braum with super directional defense, so either go to the side or wait for him to put down the shield. "
戏命师 烬,https://lol.qq.com/data/info-defail.shtml?id=202,"
- 【W致命华彩】有着难以置信的超远射程。在加入一场战斗之前，先观察下前方是否有能被你禁锢的敌人。
- 对方的生命值越高，你的终极技能造成的伤害值越低。好好观察局势，找机会送那些残血的敌人上路。
- 你在装弹时仍然可以施放技能。利用技能来撑过装弹时的脆弱期。","
- 【W致命华彩】只会禁锢那些在前4秒被Jhin的普攻、陷阱、或友方英雄给命中的敌人。
- Jhin会在地图各处放置陷阱。当心你的脚下！
- Jhin的攻击非常强力，但他会在射出第四发子弹后装填子弹。利用这段时间接近他并将他轰趴。",烬,Jhin,"-[W Fatal Chromatic] has an incredible long range. Before joining a battle, observe whether there is an enemy in front that can be imprisoned by you.  -The higher the opponent's health, the lower the damage caused by your ultimate skills. Observe the situation carefully and look for opportunities to send the bloody enemies on the road.  -You can still cast skills while reloading. Use skills to survive the fragile period when reloading. ","-[W Fatal Chromatic] will only confine those enemies that were hit by Jhin's basic attack, trap, or friendly hero in the first 4 seconds.  -Jhin will place traps everywhere on the map. Beware of your feet!  -Jhin’s attack is very powerful, but he will reload the bullet after firing the fourth round. Use this time to get close to him and push him to the ground. "
永猎双子 千珏,https://lol.qq.com/data/info-defail.shtml?id=203,"
-在打野时，利用攻击间隔进行移动，会有助于你避免受伤并从【W狼灵狂热】中获得更多治疗效果。
-要谨Shen地挑选你想要追杀的狩猎目标；尽可能多地干掉狩猎目标，是通向胜利的关键。
-在大型团战中，不要冲在第一个。等你的队友开团后再加入战斗。","
-Kindred是个脆皮英雄——对他们施加压力，他们就会被迫小心翼翼。
-抢掉被狼灵标记的野怪营地，会延缓Kindred的伤害输出。
-当Kindred使用【R羊灵生息】时，范围内的所有英雄都不会死亡，要注意并利用好这一点。",千珏,Kindred,"-In the jungle, using the attack interval to move will help you avoid injuries and get more healing effects from [W Wolf Spirit Mania].  -Shen carefully choose the hunting target you want to kill; killing as many hunting targets as possible is the key to victory.  -Don't be the first in a large team fight. Wait for your teammates to start the team before joining the battle. ","-Kindred is a crispy hero-put pressure on them and they will be forced to be careful.  -Robbing camps marked by wolf spirits will delay Kindred's damage output.  -When Kindred uses [R Sheep Spirit Breath], all heroes in the range will not die. Pay attention and make good use of this. "
暴走萝莉 金克丝,https://lol.qq.com/data/info-defail.shtml?id=222,"
- 火箭并不总是最佳选择！Jinx的轻机枪在预热完毕后，也拥有难以置信的威力。当敌方英雄快要抓到你时，就换成轻机枪射个痛快吧！
- Jinx的火箭会对爆炸范围内的所有敌人造成完全伤害。在对线时，可以朝小兵发射火箭来溅射附近的敌方英雄，并且还不会吸引小兵的仇恨。
- 当战斗开始时，尽量呆在交战区域的边缘位置，用火箭和震荡电磁波来从远处轰击对手。除非你觉得己方优势很明显，否则不要跑上前去用轻机枪扫射。","
- Jinx的轻机枪需要花费时间来预热，才能发挥全部实力。如果你看到她在远处发射火箭，就要尽量突进过去将她放倒。
- 你离Jinx越近，她的终极技能对你造成的伤害值就越低。
- Jinx的陷阱手雷的冷却时间很长，并且是她的主要防身武器。如果手雷没扔中敌人，就会在交战时陷入困境。",金克丝,Jinx,"-Rockets are not always the best choice! Jinx's light machine gun also has incredible power after warming up. When the enemy hero is about to catch you, switch to a light machine gun and shoot!  -Jinx's rocket will cause complete damage to all enemies within the explosion range. When laning, you can launch rockets at creeps to splash nearby enemy heroes without attracting the creeps' hatred.  -When the battle begins, try to stay at the edge of the battle area and use rockets and shock electromagnetic waves to bombard the opponent from a distance. Unless you think your own advantage is obvious, don't run forward and shoot with a light machine gun. ","-Jinx's light machine gun needs time to warm up before it can exert its full strength. If you see her launching a rocket from a distance, try to jump in and bring her down.  -The closer you are to Jinx, the lower the damage value her ultimate skill will cause you.  -Jinx's trap grenade has a long cooling time and is her main defense weapon. If the grenade does not hit the enemy, you will get into trouble during the battle. "
河流之王 塔姆,https://lol.qq.com/data/info-defail.shtml?id=223,"
-在辅助时，你最重要的一个功能就是把脆皮友军带到安全的地方。要注意【大快朵颐】的距离和冷却时间，并进行相应的走位！
-在使用【厚实表皮】时要谨Shen考虑。有的时候，提早获得护盾来避免深度伤害是不错的，但有的时候，治疗效果的好处更大。","
-当你看到塔姆使用【厚实表皮】获取护盾时，要记住他是以无法获得这个技能的治疗效果为代价的。只有在【厚实表皮】冷却完毕后，他才会积累新的灰色生命值。利用这点来创造优势吧！
-如果塔姆通过喷吐小兵来骚扰你，那么可以在他喷吐后尝试反击。他的【大快朵颐】这时还未冷却完毕，因此你可以趁他无法吞噬你时赚取一些优势。",塔姆,,"-When assisting, one of your most important functions is to bring crispy friendly troops to a safe place. Pay attention to the distance and cooling time of [Feast and Eat], and move accordingly!  -Shen consider carefully when using [Thick Skin]. Sometimes it is good to get a shield early to avoid deep damage, but sometimes, the benefit of the healing effect is greater. ","-When you see Tam using [Thick Skin] to get the shield, remember that he is not able to obtain the healing effect of this skill at the cost. Only after [Thick Skin] cools down, he will accumulate new gray health points. Use this to create an advantage!  -If Tam is harassing you by spitting creeps, you can try to fight back after he spit. His [Feast and Eat] has not yet finished cooling down, so you can gain some advantage while he can't swallow you. "
破败之王 佛耶戈,https://lol.qq.com/data/info-defail.shtml?id=234,,,佛耶戈,,,
涤魂圣枪 赛娜,https://lol.qq.com/data/info-defail.shtml?id=235,,,赛娜,Senna,,
圣枪游侠 卢锡安,https://lol.qq.com/data/info-defail.shtml?id=236,"
- 最为理想的爆发连招是冷酷追击接透体圣光。
- 热诚烈弹会呈星形爆炸。试着找一个前置目标，然后用爆炸后的流弹命中敌方英雄。
- 一旦你为圣枪洗礼选择了一个角度，你就不能再改了。等时机成熟了再出手！
- 由于被动技能“圣枪银弹”，Lucian从攻击力中获得的收益要比从攻击速度中获得的收益还多得多。","
- Lucian的爆发伤害很高，但持续伤害比较低。
- Lucian不能改变圣枪洗礼的瞄准方向。躲过子弹的角度就能获得优势。
- 透体圣光不会给Lucian额外的攻击距离。他仍然需要寻找一个目标来触发圣光。注意预判Lucian将会选择的角度，就会比较容Master Yi躲掉透体圣光。",卢锡安,Lucian,"-The most ideal burst combo is the ruthless pursuit of the Holy Light.  -Zealous bombs will explode in a star shape. Try to find a front target and hit the enemy hero with the exploded stray bullet.  -Once you have chosen an angle for Holy Lance Baptism, you cannot change it anymore. Wait until the time is right!  -Thanks to the passive skill ""Silver Bullet of the Holy Spear"", Lucian gains more from attack power than from attack speed. ","-Lucian's burst damage is high, but sustained damage is relatively low.  -Lucian cannot change the aiming direction of the Holy Gun Baptism. The angle of dodge the bullet can gain an advantage.  -The Transverse Holy Light does not give Lucian an extra attack range. He still needs to find a target to trigger the Holy Light. Pay attention to predicting the angle Lucian will choose, and Master Yi will be more likely to avoid the translucent light. "
影流之主 劫,https://lol.qq.com/data/info-defail.shtml?id=238,"
- 在你使用终极技能之前，要攒好能量和技能冷却，以最大化【R禁奥义！瞬狱影杀阵】的伤害输出。
- 快速双击【W影奥义！分身】，将会让Zed立刻传送到影分身的位置，从而快速逃生。
- 在使用死亡印记前使用一次【W影奥义！分身】，能够让Zed安全地从战斗中逃脱。","
- 提升攻击力的装备能提升Zed的整体输出，因此在对抗Zed时，护甲的作用将非常明显。
- 在Zed使用了他的【W影奥义！分身】之后，他将陷入最无力的状态，因为他的伤害、减速、和机动性都依靠这个技能。
- Zed的【Q影奥义！诸刃】如果在命中敌方英雄之前，穿过了其它单位的话，那么它的伤害值会降低。
- 只有中了Zed的影分身的【E影奥义！鬼斩】才会被减速，而中了Zed的【E影奥义！鬼斩】则不会。",劫,Zed,"-Before you use the ultimate skills, you must accumulate energy and skill cooldown to maximize [R forbidden secrets! Instant Prison Shadow Killing Array] damage output.  -Quickly double-click [W Shadow Profound meaning! Clone], will allow Zed to immediately teleport to the location of the shadow clone to quickly escape.  -Use [W Shadow Profound meaning!] before using Death Mark once. Clone], which allows Zed to escape from the battle safely. ","-Equipment that increases attack power can increase Zed's overall output, so when fighting against Zed, the role of armor will be very obvious.  -Used his [W Shadow Profound meaning!] in Zed After the clone], he will fall into the weakest state, because his damage, deceleration, and mobility all rely on this skill.  -Zed's [Q Shadow Profound Meaning! Blades] If it passes through other units before hitting the enemy hero, its damage value will be reduced.  -Only the [E-Shadow Profound meaning of Zed's shadow clone! Ghost Slash] was slowed down, and hit Zed's [E Shadow Profound meaning! Ghost Slash] doesn't. "
暴怒骑士 克烈,https://lol.qq.com/data/info-defail.shtml?id=240,"
- Kled可通过击杀小兵来产生一些勇气，但会在与英雄作战时产生更多。
- 【W暴烈秉性】的最后一次命中会造成比前三次命中更多的伤害——一定要打中喔！
- 【R冲啊——！！！】的施放距离非常可观。试着预判敌方队伍的走位，以便你能驾着斯嘎尔狠狠教训他们一番。","
- Kled可通过以下方式产生勇气：1.用他的随身手枪和普攻对敌人造成伤害。2.击杀小兵。3.攻击建筑物或史诗级野怪。
- 在Kled处于非骑乘状态下时，要注意观察他的勇气槽——当勇气槽到达100%时，他就会重回骑乘状态并回复可观的生命值。
- 在Kled的【W暴烈秉性】准备就绪时，他会更有威胁性。",克烈,Kled,"-Kled can generate some courage by killing minions, but will generate more when fighting heroes.  -[W Violent Instinct]'s last hit will cause more damage than the previous three hits-be sure to hit!  -[R punch! ! ! ]’S cast range is very impressive. Try to predict the position of the enemy team, so that you can drive Skal to teach them a lot. ","-Kled can generate courage in the following ways: 1. Use his handgun and basic attacks to cause damage to the enemy. 2. Kill the creeps. 3. Attack buildings or epic monsters.  -When Kled is in a non-riding state, pay attention to his courage gauge-when the courage gauge reaches 100%, he will return to the mounted state and restore considerable health.  -When Kled's [W Violent Disposition] is ready, he will be more threatening. "
时间刺客 艾克,https://lol.qq.com/data/info-defail.shtml?id=245,"
- 【R时空断裂】是一个有效的逃生手段，但它在用来进攻时也会非常给力。
- 如果你能够在一名敌方英雄身上触发【Z型驱动共振】，那么即使要承担一定风险也非常值得一试。它所提供的移速加成会让你轻松脱身。
- 【E相位俯冲】的位移是个非常好的起手技能，能让你轻松连上Ekko的其它技能。用它来让【Q时间卷曲器】完成双次命中，或者达到【W时光交错】的引爆范围。","
- Ekko在终极技能没冷却的时候非常弱。要注意他留在身后的痕迹，来判断他的终极技能是否可用。
- Ekko的晕眩区域需要布置3秒。看好他在施法时创造的幻象，并试着猜一下那个区域放在哪个地方了。
- 时间卷曲器的第二次攻击造成的伤害比第一次更多；尽量避开它。",艾克,Ekko,"-[R Time and Space Break] is an effective means of escape, but it is also very powerful when used for offense.  -If you can trigger [Z Drive Resonance] on an enemy hero, it is worth a try even if you have to take a certain risk. The movement speed bonus it provides will make you get away easily.  -[Phase E Dive] The displacement is a very good starting skill, allowing you to easily connect to Ekko's other skills. Use it to make [Q time curler] complete double hits, or reach the detonation range of [W Time Interlace]. ","-Ekko is very weak when the ultimate skill is not cool down. Pay attention to the traces he left behind to judge whether his ultimate skills are available.  -Ekko's stun area needs to be deployed for 3 seconds. Be optimistic about the illusion he created while casting the spell, and try to guess where the area is.  -The second attack of the time curler does more damage than the first one; try to avoid it. "
元素女皇 奇亚娜,https://lol.qq.com/data/info-defail.shtml?id=246,,,奇亚娜,Qiyana,,
皮城执法官 蔚,https://lol.qq.com/data/info-defail.shtml?id=254,"
- 一记完全充能的【Q强能冲拳】会造成双倍伤害。它在追击并了结溃散的敌人时非常有效。
- 【E透体之劲】会对冲击波里的任何人造成全额伤害。用它来攻击敌方小兵，从而击中躲在小兵身后的敌方英雄。
- 【R天霸横空烈轰】是一个强大的先手手段，只要记得别把剩余的队友远远甩在身后就好。","
- 一记完全充能的【Q强能冲拳】会造成双倍伤害，如果你看到Vi开始蓄力了，你应该后撤，或者尝试躲掉它。
- 如果Vi连续击中你三次，她会击碎你的护甲并获得攻击速度加成。尽量不要在大型械斗中和她接战。
- Vi会在使用终极技能时免疫控制效果。记得把你的位移技能留到她的冲锋完成之后使用。",蔚,Vi,"-A fully charged [Q Power Punch] will cause double damage. It is very effective in chasing down and smashing enemies.  -[E-Strength of the Body] Will cause full damage to anyone in the shock wave. Use it to attack the enemy minions and hit the enemy heroes hiding behind the minions.  -[R Tianba Hengkong Liehong] is a powerful first move, just remember not to leave the remaining teammates far behind. ","-A fully charged [Q Power Punch] will cause double damage. If you see Vi starts to accumulate power, you should retreat or try to avoid it.  -If Vi hits you three times in a row, she will shatter your armor and gain attack speed bonus. Try not to fight with her in a large battle.  -Vi will be immune to control effects when using ultimate skills. Remember to save your displacement skills until after her charge is completed. "
暗裔剑魔 亚托克斯,https://lol.qq.com/data/info-defail.shtml?id=266,"
-在施放【暗裔利刃】时使用【暗影冲决】可提升你命中敌人的几率。
诸如【恶火束链】或你友军的定身效果等控制技能，将有助于你【暗裔利刃】的起手。
在你确保能够逼迫对方一战时施放【大灭】。","
-Aatrox的攻击非常具有波段性，所以要利用好时间来规避他的命中区域。
Aatrox的【恶火束链】在朝着边界或Aatrox奔跑时会更容Master Yi离开。
在Aatrox使用他的终极技能时，保持距离以防止他复活。",亚托克斯,Aatrox,-Use [Shadow Rush] when casting [Darkborn Blade] to increase your chance of hitting an enemy.  Control skills such as [Evil Fire Chain] or your ally’s root effect will help you [Darkborn Blade] to start.  Cast [Great Destruction] when you make sure that you can force the opponent into a battle. ,"-Aatrox's attack is very band-like, so use your time to avoid his hit area.  Aatrox's [Chain of Evil Fire] will allow Master Yi to leave more when running towards the border or Aatrox.  When Aatrox uses his ultimate ability, keep a distance to prevent him from resurrecting. "
唤潮鲛姬 娜美,https://lol.qq.com/data/info-defail.shtml?id=267,"
- 【Q碧波之牢】的冷却时间很长，要确保在正确的时机使用它。
- 在交战中对敌方英雄使用【W冲击之潮】，将会让团战走势朝着有利于你的方向倾斜。
- Nami的终极技能在对远处的敌人发起先手时非常给力。","
- 碧波之牢是一个非常强力的技能，但冷却时间很长。如果Nami将这个技能放空，那么就可以趁机获取优势了。
- 怒涛之啸的作用距离非常远，但是行进速度很慢，注意它行进的方向，然后避开它就好。
- 尽量避免与被施加了唤潮之佑的单位作战，它的持续时间很短，所以避其锋芒是最有效的方法。",娜美,Nami,"-[Q Bibo’s Prison] has a long cooling time. Make sure to use it at the right time.  -Use [W Shock Wave] against enemy heroes in a battle, and the team battle will tilt in your favor.  -Nami's ultimate skill is very powerful when launching a first move against a distant enemy. ","-The Prison of Bibo is a very powerful skill, but it has a long cooling time. If Nami empties this skill, then he can take the opportunity to gain an advantage.  -The roar of the raging waves has a very long range, but it travels very slowly. Pay attention to the direction it travels, and then avoid it.  -Try to avoid fighting with units that have been applied with the Blessing of Tide. Its duration is very short, so avoiding its edge is the most effective way. "
沙漠皇帝 阿兹尔,https://lol.qq.com/data/info-defail.shtml?id=268,"
- 要牢记的是，除非你准备一波拼死敌人，否则不要把【W沙兵现身】的两个黄沙士兵都放出去。最好时刻把一个黄沙士兵留在手中，你可以用它来穿墙逃生，也可以在远离另一个士兵时放出来追加伤害。
- 在对线时，尽量把你的士兵放在敌方小兵和敌方英雄之间。这样一来，你就可以用它们来补刀，并对你的对手施加压力。
- 首先要把【R禁军之墙】看成一个防御型技能。你可以用它来阻止敌人追击你的队友。切记，你的队友可以走过【R禁军之墙】，因此你可以在敌方近战英雄想要开战时用它来创造优势。
- 带你超神带你飞！","
- Azir依靠他的士兵来输出伤害，并且每移动一次士兵就要等待一段时间。尽量在他的士兵无法移动时来赚取优势。
- Azir的持续输出非常可观，但缺乏其他法师那样的一次性爆发伤害。尽量在他能发起反击之前把他轰杀掉。
- 请试着把黄沙士兵看成火焰。不要站在火焰之中。",阿兹尔,Azir,"-Keep in mind that unless you are preparing to kill the enemy in a wave, don't release the two sand soldiers from [W Sand Soldiers]. It is best to keep a yellow sand soldier in your hands at all times. You can use it to escape through walls, or you can release it for additional damage when you are away from another soldier.  -When laning, try to put your soldiers between the enemy minions and the enemy heroes. In this way, you can use them to make up the knife and put pressure on your opponent.  -First, consider [R Forbidden Army's Wall] as a defensive skill. You can use it to stop the enemy from chasing your teammates. Remember, your teammates can walk through [R Forbidden Army Wall], so you can use it to create an advantage when the enemy melee hero wants to go to war.  -Take you super god and take you to fly! ","-Azir relies on his soldiers to output damage, and waits for a while every time a soldier moves. Try to gain an advantage when his soldiers cannot move.  -Azir's continuous output is very impressive, but it lacks the one-time burst damage of other mages. Try to kill him before he can launch a counterattack.  -Please try to treat the yellow sand soldiers as flames. Don't stand in the flames. "
魔法猫咪 悠米,https://lol.qq.com/data/info-defail.shtml?id=350,,,悠米,Yuumi,,
沙漠玫瑰 莎弥拉,https://lol.qq.com/data/info-defail.shtml?id=360,,,莎弥拉,Samira,,
魂锁典狱长 锤石,https://lol.qq.com/data/info-defail.shtml?id=412,"
- 沟通，是用好Thresh的【W魂引之灯】的关键。让你的队友了解你要怎样用它。
- 【Q死亡判决】和【E厄运钟摆】可以任意组合，从而形成强力连招。
- Thresh不用亲自击杀单位也可以收集灵魂。规划好你的地图走位，来尽可能多地接近死亡，从而让你最有效率地收集灵魂。","
- Thresh的【Q死亡判决】施法时间很长。留心他的施法动作，从而进行规避。
- 故意打破【R幽冥监牢】的一面墙壁，可以让一名脆弱的友军安然逃生。
- Thresh依靠收集灵魂来增加他的生存能力和伤害。在他想去收集灵魂时，给他点颜色看看。",锤石,Thresh,-Communication is the key to making good use of Thresh's [W Soul Induction Lamp]. Let your teammates know how you want to use it.  -[Q Death Judgment] and [E Doom Pendulum] can be combined arbitrarily to form a powerful combo.  -Thresh can collect souls without personally killing units. Plan your map position to get as close to death as possible so that you can collect souls most efficiently. ,"-Thresh’s [Q Death Judgment] has a long casting time. Pay attention to his casting actions to avoid.  -Deliberately breaking a wall of [R Nether Prison] can allow a fragile ally to escape safely.  -Thresh relies on collecting souls to increase his survivability and damage. When he wants to collect souls, show him some colors. "
海兽祭司 俄洛伊,https://lol.qq.com/data/info-defail.shtml?id=420,"
- 触手是一种极好的力量来源。没有它们的帮助就不要进行战斗。
- 灵魂会继承目标的当前生命值。如果你的目的是制造一个
躯壳
，就要尽量削减你的对手的生命值，来让击杀灵魂变得容Master Yi些。
- 【越界信仰】 最好用于后手接队友的强力先手技能，或在战斗正在进行时使用。在自己充当团战先手时，千万要Shen重。","
- 尽可能随时击杀触手将会使你更容Master Yi击败俄Rakan伊。
- 当你的灵魂被抽离时，尽可能予以回击。对俄Rakan伊造成伤害将减少灵魂的持续时间。
- 避免被【越界信仰】击中己方多人，从而减少俄Rakan伊生成的触手数量。",俄洛伊,Illaoi,"-Tentacles are an excellent source of strength. Don't fight without their help.  -The soul will inherit the current health value of the target. If your purpose is to make one  Body  , It is necessary to reduce the health of your opponent as much as possible to make killing souls more comfortable for Master  -[Cross-Boundary Belief] It's best to be used as a powerful first-hand skill to pick up teammates from behind, or to use it when a battle is in progress. When you act as a teamfighter yourself, you must be heavy. ","-Killing the tentacles as often as possible will make you more comfortable for Master Yi to defeat Russian Rakan Yi.  -When your soul is pulled away, fight back as much as possible. Damage to the Russian Rakanyi will reduce the duration of the soul.  -Avoid being hit by [Cross-Border Belief] to your side, thereby reducing the number of tentacles generated by Rakanyi. "
虚空遁地兽 雷克塞,https://lol.qq.com/data/info-defail.shtml?id=421,"
- 把隧道布满整张地图，将确保你在想要施放【R虚空猛冲】时拥有足够多的选择。
- 先施放【W遁地】，然后在地图各处移动，就能利用移动速度加成的优势，以及由【地听术】提供的安全性。
-【地听术】可以在敌人接近你时提供警告，在你进入敌方半场时尤其有用。","
- 如果你发现了Rek’Sai的某个隧道入口，那么你只需要踩上去一会儿，就可以摧毁这条隧道。
- Rek’Sai的【E狂野之噬】会从她的怒气中获得伤害提升。在Rek’Sai满怒时最好小心为上。
- 当Rek’Sai在附近时，她可以看见你和你队友的位置，但只要你们不移动，就不会暴露位置。",雷克塞,Rek’Sai,"-Covering the entire map with tunnels will ensure that you have enough choices when you want to cast [R Void Rush].  -Cast [W Escape] first, and then move around on the map to take advantage of the movement speed bonus and the safety provided by [Earth Listening].  -[Earth Hearing] can provide a warning when the enemy approaches you, especially useful when you enter the enemy half. ","-If you find a tunnel entrance in Rek’Sai, you only need to step on it for a while to destroy the tunnel.  -Rek’Sai’s [E Wild Bites] will get a damage boost from her anger. It is best to be careful when Rek’Sai is full of anger.  -When Rek’Sai is nearby, she can see where you and your teammates are, but as long as you don’t move, they won’t be exposed. "
